iter	RMSE
0	16.02397684
1	15.82540755
2	15.65450377
3	15.46747623
4	15.296047
5	15.12051449
6	14.95179898
7	14.78150371
8	14.63760433
9	14.51416093
10	14.36067121
11	14.21255213
12	14.08135262
13	13.94755413
14	13.85815879
15	13.76552155
16	13.63308156
17	13.51417178
18	13.40401438
19	13.28613843
20	13.1999644
21	13.08898831
22	12.99473355
23	12.93544749
24	12.85867978
25	12.75341773
26	12.66423545
27	12.57478245
28	12.51145475
29	12.43471471
30	12.36294715
31	12.29348236
32	12.19669679
33	12.14888654
34	12.07410257
35	12.00455226
36	11.94999022
37	11.88515142
38	11.8018189
39	11.73042165
40	11.662799
41	11.58988953
42	11.52377263
43	11.47050135
44	11.41385709
45	11.37415039
46	11.31937682
47	11.24109901
48	11.18930316
49	11.14084024
50	11.07217994
51	11.04772313
52	10.99734528
53	10.9641028
54	10.9100437
55	10.85513556
56	10.80906527
57	10.75725763
58	10.71340286
59	10.67719043
60	10.63429884
61	10.59691302
62	10.54760114
63	10.49165034
64	10.44585862
65	10.40779704
66	10.35986869
67	10.31615734
68	10.27286704
69	10.2267201
70	10.19554931
71	10.15075065
72	10.11944269
73	10.08714239
74	10.06186608
75	10.01886187
76	9.976139583
77	9.934254207
78	9.89246482
79	9.861636383
80	9.825594185
81	9.801856028
82	9.777748626
83	9.743644605
84	9.715693676
85	9.701875207
86	9.666769569
87	9.630195666
88	9.602199408
89	9.583257735
90	9.557319106
91	9.517218039
92	9.484660767
93	9.46025954
94	9.432728828
95	9.426802607
96	9.402865774
97	9.380170852
98	9.361716897
99	9.334227809
100	9.297283504
101	9.272953465
102	9.246186886
103	9.216897416
104	9.196743965
105	9.172762065
106	9.155592021
107	9.132435635
108	9.110223845
109	9.095870697
110	9.065872773
111	9.045676802
112	9.025532747
113	9.001683378
114	8.981739644
115	8.960036481
116	8.93848037
117	8.922185772
118	8.89614979
119	8.885782484
120	8.870743082
121	8.853154139
122	8.833890917
123	8.825546761
124	8.808027619
125	8.803255361
126	8.763851381
127	8.739169623
128	8.707227729
129	8.682628051
130	8.66856312
131	8.65632622
132	8.641638166
133	8.620247035
134	8.602599244
135	8.581330107
136	8.575343519
137	8.555446764
138	8.545061375
139	8.529887099
140	8.515740327
141	8.493790734
142	8.473272224
143	8.456590128
144	8.441947735
145	8.418930909
146	8.405804677
147	8.383482988
148	8.36631721
149	8.352349314
150	8.33394282
151	8.313159781
152	8.292226457
153	8.279433206
154	8.263770312
155	8.251049905
156	8.231256848
157	8.216587286
158	8.202986288
159	8.194433103
160	8.183163948
161	8.171762679
162	8.161154914
163	8.147253333
164	8.127873757
165	8.112488132
166	8.098246818
167	8.084905123
168	8.073941924
169	8.06032596
170	8.048530308
171	8.034974827
172	8.02542779
173	8.012364927
174	8.004773185
175	7.994765659
176	7.980530182
177	7.968498128
178	7.956388123
179	7.946545954
180	7.937867037
181	7.923682874
182	7.908317548
183	7.898631648
